qseqid,sseqid,qstart,qend,sstart,send,evalue,bitscore,pident,qcovs,accession,taxonomy,fam,spec,barcode,group,Specific,reads,barcode,total,obs_perc,exp_group,obs_group,Pellet_ ID,Primer,Extract,Location,Morph_ID,Expected,Expected_main,exp_ind
consensus_SQK-RBK114-96_barcode86_1_220(2230),gi|1799624616|gb|MN122931.1|,4,233,2473,2244,2.27E-114,425,100,98,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,2230,86,16555,0.134702507,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_3(400),gi|1814043341|gb|MT122070.1|,2,187,200,15,5.04E-90,344,100,98,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,400,86,16555,0.024161885,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_7(1044),gi|1799624616|gb|MN122931.1|,5,173,2415,2247,1.31E-80,313,100,96,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,1044,86,16555,0.063062519,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_22(195),gi|1814043341|gb|MT122070.1|,8,135,69,196,5.90E-58,237,100,93,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,195,86,16555,0.011778919,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_183(107),gi|1799624616|gb|MN122931.1|,1,188,2450,2263,3.94E-91,348,100,98,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,107,86,16555,0.006463304,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_236(55),gi|1814043341|gb|MT122070.1|,4,114,196,86,1.29E-48,206,100,97,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,55,86,16555,0.003322259,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_74(151),gi|1799624616|gb|MN122931.1|,1,110,2385,2276,4.40E-48,204,100,100,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,151,86,16555,0.009121111,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_72(32),gi|1814043341|gb|MT122070.1|,2,105,199,96,8.89E-45,193,100,99,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,32,86,16555,0.001932951,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_219(440),gi|1814043341|gb|MT122070.1|,2,165,200,37,7.31E-78,303,100,99,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,440,86,16555,0.026578073,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_190(37),gi|1799624616|gb|MN122931.1|,1,151,2413,2263,1.10E-70,279,100,100,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,37,86,16555,0.002234974,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_178(78),gi|2324023810|gb|CP110001.1|,1,208,1154618,1154411,1.56E-100,379,99.519,100,CP110001.1,Flavobacterium sp. N2038,Flavobacterium,sp.,86,Other,Bacteria,78,86,16555,0.004711568,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_23(10),gi|909719411|gb|KR809877.1|,1,109,2858,2750,1.56E-47,202,100,100,KR809877.1,Mucor lusitanicus,Mucor,lusitanicus,86,Other,Bacteria,10,86,16555,0.000604047,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_223(309),gi|1519576354|gb|CP033934.1|,6,325,118012,118331,3.12E-159,575,99.065,98,CP033934.1,Chryseobacterium balustinum,Chryseobacterium,balustinum,86,Other,Bacteria,309,86,16555,0.018665056,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_78(129),gi|1519576354|gb|CP033934.1|,1,199,118299,118101,3.24E-97,368,100,99,CP033934.1,Chryseobacterium balustinum,Chryseobacterium,balustinum,86,Other,Bacteria,129,86,16555,0.007792208,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_88(35),gi|2746294705|dbj|AP031573.1|,3,212,775,984,2.66E-103,388,100,99,AP031573.1,Flavobacterium sp. CFS9,Flavobacterium,sp.,86,Other,Bacteria,35,86,16555,0.002114165,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_51(171),gi|1519576354|gb|CP033934.1|,4,278,118057,118331,2.69E-139,508,100,98,CP033934.1,Chryseobacterium balustinum,Chryseobacterium,balustinum,86,Other,Bacteria,171,86,16555,0.010329206,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_225(134),gi|1519576354|gb|CP033934.1|,2,250,118083,118331,6.78E-125,460,100,99,CP033934.1,Chryseobacterium balustinum,Chryseobacterium,balustinum,86,Other,Bacteria,134,86,16555,0.008094231,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_137(30),gi|1519576354|gb|CP033934.1|,1,174,118181,118007,1.00E-81,316,99.429,100,CP033934.1,Chryseobacterium balustinum,Chryseobacterium,balustinum,86,Other,Bacteria,30,86,16555,0.001812141,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_156(23),gi|909719411|gb|KR809877.1|,1,204,3118,2915,2.55E-98,372,99.51,100,KR809877.1,Mucor lusitanicus,Mucor,lusitanicus,86,Other,Bacteria,23,86,16555,0.001389308,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_202(13),gi|1905450536|gb|MN657180.1|,1,166,26685,26849,2.90E-73,289,98.193,75,MN657180.1,Cladosporium sp.,Cladosporium,sp.,86,Other,Bacteria,13,86,16555,0.000785261,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_97(31),gi|1905450536|gb|MN657180.1|,4,143,26876,27015,6.43E-63,254,99.286,95,MN657180.1,Cladosporium sp.,Cladosporium,sp.,86,Other,Bacteria,31,86,16555,0.001872546,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_59(96),gi|2324023810|gb|CP110001.1|,1,153,1154564,1154412,4.02E-70,278,99.346,100,CP110001.1,Flavobacterium sp. N2038,Flavobacterium,sp.,86,Other,Bacteria,96,86,16555,0.005798852,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_175(12),gi|2243791475|emb|OW971873.1|,1,280,1715,1436,4.53E-137,501,98.932,100,OW971873.1,Mucor piriformis,Mucor,piriformis,86,Other,Bacteria,12,86,16555,0.000724857,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_64(59),gi|2626396696|gb|CP139420.1|,1,114,38393,38506,2.77E-50,211,100,100,CP139420.1,Flavobacterium sp. NG2,Flavobacterium,sp.,86,Other,Bacteria,59,86,16555,0.003563878,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_242(141),gi|2306666110|emb|OX336425.1|,1,215,23106,23321,2.10E-104,392,99.537,99,OX336425.1,Flavobacterium collinsii,Flavobacterium,collinsii,86,Other,Bacteria,141,86,16555,0.008517064,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_136(37),gi|2746294705|dbj|AP031573.1|,2,115,774,887,2.84E-50,211,100,98,AP031573.1,Flavobacterium sp. CFS9,Flavobacterium,sp.,86,Other,Bacteria,37,86,16555,0.002234974,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_105(128),gi|2324023887|gb|CP110009.1|,1,226,1596786,1596561,1.70E-110,412,99.558,100,CP110009.1,Flavobacterium sp. N3904,Flavobacterium,sp.,86,Other,Bacteria,128,86,16555,0.007731803,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_148(10),gi|1588047929|gb|CP037427.1|,1,204,2364300,2364096,5.57E-90,344,97.087,100,CP037427.1,Myroides odoratimimus,Myroides,odoratimimus,86,Other,Bacteria,10,86,16555,0.000604047,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_189(85),gi|2324023887|gb|CP110009.1|,1,299,1596885,1596587,6.19E-151,547,99.666,100,CP110009.1,Flavobacterium sp. N3904,Flavobacterium,sp.,86,Other,Bacteria,85,86,16555,0.0051344,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_192(37),gi|2476884915|gb|CP114284.2|,1,187,520341,520526,1.08E-86,333,98.93,100,CP114284.2,Flavobacterium sp. IMCC34518,Flavobacterium,sp.,86,Other,Bacteria,37,86,16555,0.002234974,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_203(9),gi|2243791475|emb|OW971873.1|,1,155,1715,1561,1.47E-69,276,98.718,100,OW971873.1,Mucor piriformis,Mucor,piriformis,86,Other,Bacteria,9,86,16555,0.000543642,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_99(42),gi|1834819635|gb|CP051546.1|,1,167,56104,56270,7.42E-78,303,99.401,100,CP051546.1,Flavobacterium sp.,Flavobacterium,sp.,86,Other,Bacteria,42,86,16555,0.002536998,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_234(35),gi|2746294705|dbj|AP031573.1|,1,133,779,911,9.42E-61,246,100,100,AP031573.1,Flavobacterium sp. CFS9,Flavobacterium,sp.,86,Other,Bacteria,35,86,16555,0.002114165,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_25(88),gi|2745759270|dbj|AP031610.1|,1,155,1292068,1291914,6.80E-73,287,100,100,AP031610.1,Elizabethkingia anophelis,Elizabethkingia,anophelis,86,Other,Bacteria,88,86,16555,0.005315615,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_84(38),gi|2243791475|emb|OW971873.1|,1,195,1608,1803,2.43E-93,355,99.49,100,OW971873.1,Mucor piriformis,Mucor,piriformis,86,Other,Bacteria,38,86,16555,0.002295379,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_240(92),gi|2306666110|emb|OX336425.1|,1,272,503712,503986,3.41E-133,488,98.909,100,OX336425.1,Flavobacterium collinsii,Flavobacterium,collinsii,86,Other,Bacteria,92,86,16555,0.005557233,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_180(18),gi|2714450175|gb|CP150845.1|,1,121,24311,24191,3.87E-54,224,100,100,CP150845.1,Flavobacterium soyae,Flavobacterium,soyae,86,Other,Bacteria,18,86,16555,0.001087285,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
consensus_SQK-RBK114-96_barcode86_1_237(51),gi|2227365540|gb|CP095721.1|,1,168,1519,1686,9.68E-77,300,98.81,100,CP095721.1,Flavobacterium psychrophilum,Flavobacterium,psychrophilum,86,Other,Bacteria,51,86,16555,0.00308064,0,0.584959227,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0
